Cumulative through,Series start date,End date,Logic supply (5th percentile),Logic supply (median),Logic supply (95th percentile),CoWoS supply (5th percentile),CoWoS supply (median),CoWoS supply (95th percentile),HBM supply (USD) (5th percentile),HBM supply (USD) (median),HBM supply (USD) (95th percentile)
Q1 2024,2024-01-01,2024-03-31,453416.8308471714,465976.1904761905,489136.99690402474,51000,58500.0,66000,2250000000,2500000000,2750000000
Q2 2024,2024-01-01,2024-06-30,1003515.3391500141,1032055.5555555555,1087828.9473684211,117000,135000.0,153000,5400000000,6000000000,6600000000
Q3 2024,2024-01-01,2024-09-30,1611685.8992400789,1658571.4285714286,1754512.383900929,207000,234000.0,261000,9828000000,10920000000,12012000000
Q4 2024,2024-01-01,2024-12-31,2423309.878975514,2495142.8571428573,2647511.609907121,312000,351000.0,390000,16542000000,18380000000,20218000000
Q1 2025,2024-01-01,2025-03-31,3162915.8457641434,3257047.6190476194,3458196.5944272447,428250,475687.5,523125,22374000000,24860000000,27346000000
Q2 2025,2024-01-01,2025-06-30,4063076.27357163,4184420.6349206353,4445383.126934985,567000,624750.0,682500,29448000000,32720000000,35992000000
Q3 2025,2024-01-01,2025-09-30,5087143.259217563,5239285.714285715,5567321.981424149,728250,798187.5,868125,37971000000,42190000000,46409000000
Q4 2025,2024-01-01,2025-12-31,6139659.442724459,6324309.523809524,6726466.718266254,912000,996000.0,1080000,48231000000,53590000000,58949000000
